学号,姓名,性别,班级,数学,语文,英语,物理,化学,生物,总分,排名
20240060,卫晴霞,女,高一(3)班,88,64,59,96,57,54,418,67
20240017,袁伟泽,男,高一(2)班,91,61,77,93,56,77,455,32
20240027,苗萍娜,女,高一(3)班,88,86,86,51,48,70,429,58
20240025,陈欣,女,高一(1)班,87,76,58,79,53,91,444,42
20240081,康佳梦,女,高一(3)班,81,95,47,67,79,72,441,45
20240059,廉浩旭,男,高一(2)班,92,55,87,50,63,77,424,63
20240074,秦可娜,女,高一(2)班,61,69,65,58,74,65,392,87
20240041,柏佳,女,高一(2)班,66,58,88,85,99,61,457,31
20240029,姜可萍,女,高一(2)班,96,100,99,80,51,48,474,12
20240042,戚诗娜,女,高一(3)班,50,85,72,98,62,47,414,69
20240083,于诗馨,女,高一(2)班,54,72,56,91,78,86,437,49
20240075,穆诗,女,高一(3)班,93,98,71,61,98,50,471,18
20240091,章雪,女,高一(1)班,91,57,65,52,92,79,436,50
20240044,汤芳,女,高一(2)班,89,54,79,47,98,68,435,53
20240002,毕飞,男,高一(2)班,50,58,59,77,83,46,373,98
20240085,苏可,女,高一(1)班,50,62,73,60,93,74,412,72
20240008,蒋鹏,男,高一(2)班,85,98,68,55,68,67,441,44
20240013,黄悦悦,女,高一(1)班,70,68,59,53,77,76,403,82
20240096,冯鹏博,男,高一(3)班,85,88,48,54,54,96,425,62
20240072,李兰,女,高一(3)班,88,96,70,91,55,98,498,2
20240069,潘怡娜,女,高一(3)班,58,98,71,69,94,82,472,17
20240087,喻诗诗,女,高一(3)班,62,80,45,78,57,50,372,99
20240090,酆怡燕,女,高一(3)班,92,80,66,67,89,74,468,21
20240070,穆博,男,高一(1)班,45,67,64,93,69,99,437,48
20240055,冯琳佳,女,高一(1)班,65,87,99,52,91,64,458,28
20240056,卞燕,女,高一(2)班,89,63,80,53,57,71,413,71
20240049,酆明,男,高一(1)班,74,67,64,97,95,100,497,3
20240073,朱佳颖,女,高一(1)班,70,82,81,87,46,50,416,68
20240066,任雪晴,女,高一(3)班,85,62,94,94,78,76,489,6
20240004,穆旭,男,高一(1)班,72,66,62,54,58,93,405,80
20240036,皮悦玲,女,高一(3)班,61,58,87,90,65,60,421,64
20240048,卞可霞,女,高一(3)班,62,55,95,89,51,69,421,65
20240035,马军博,男,高一(2)班,60,82,83,47,84,50,406,78
20240030,卫翰明,男,高一(3)班,55,71,76,75,58,100,435,52
20240043,潘越,男,高一(1)班,61,55,92,73,80,90,451,39
20240047,何旭泽,男,高一(2)班,71,46,56,92,66,95,426,60
20240061,吴明文,男,高一(1)班,99,94,49,74,71,85,472,16
20240050,金伟鹏,男,高一(2)班,66,62,100,49,94,62,433,57
20240026,姜梦燕,女,高一(2)班,57,51,51,87,72,67,385,93
20240021,朱昊翔,男,高一(3)班,55,61,78,100,83,72,449,40
20240064,杨宇,男,高一(1)班,74,87,78,80,83,65,467,22
20240054,岑翰昊,男,高一(3)班,91,92,92,87,57,68,487,8
20240011,魏俊,男,高一(2)班,65,70,62,49,58,81,385,92
20240078,柳越,男,高一(3)班,68,55,83,83,92,90,471,19
20240039,何萍馨,女,高一(3)班,64,84,96,86,78,45,453,35
20240065,安晴欣,女,高一(2)班,72,98,80,73,55,92,470,20
20240094,吴娜馨,女,高一(1)班,53,85,100,93,76,51,458,29
20240086,葛芳玲,女,高一(2)班,56,76,58,67,96,61,414,70
20240003,卜睿飞,男,高一(3)班,59,73,82,62,96,100,472,15
20240019,郝平军,男,高一(1)班,68,98,96,64,60,48,434,55
20240063,尹飞,男,高一(3)班,96,89,78,74,48,80,465,26
20240033,王博强,男,高一(3)班,92,65,48,48,82,75,410,76
20240062,卜越,男,高一(2)班,70,60,54,86,89,45,404,81
20240058,柏娟悦,女,高一(1)班,83,86,65,74,73,73,454,34
20240077,姜涛文,男,高一(2)班,54,60,53,75,87,52,381,96
20240040,皮静丽,女,高一(1)班,61,52,51,92,80,54,390,88
20240014,和强杰,男,高一(2)班,85,55,95,88,72,83,478,10
20240032,余雯怡,女,高一(2)班,87,90,76,54,57,63,427,59
20240079,尹俊,男,高一(1)班,64,51,82,46,64,81,388,90
20240100,何明,男,高一(1)班,49,55,45,71,73,89,382,95
20240093,孔刚,男,高一(3)班,56,64,45,90,79,53,387,91
20240015,韦鹏宇,男,高一(3)班,78,61,80,100,45,88,452,37
20240031,王艳,女,高一(1)班,69,61,95,95,74,63,457,30
20240092,孔涛超,男,高一(2)班,91,82,93,78,83,63,490,5
20240089,孙敏,女,高一(2)班,70,89,60,64,87,82,452,38
20240034,王晨,男,高一(1)班,56,49,83,49,88,100,425,61
20240053,邬欣,女,高一(2)班,81,57,61,47,90,72,408,77
